id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
4414634,Sun drenched three window room ,13241955,Gloria,,,11218,40.64697426,-73.98473642,Private room,65,2,6,4/21/2015,1.1,3,322,201505
4519644,"Cozy 1 bdrm, perf for sight-seeing",6202664,Margaret,Manhattan,Hell's Kitchen,10019,40.76648775,-73.98485193,Entire home/apt,175,3,5,4/15/2015,1.3,1,304,201505
6094869,2 bedrooms Macy's&Times SQ,9586465,Lang,Manhattan,Hell's Kitchen,10018,40.75505048,-73.99545676,Entire home/apt,149,1,0,,,4,114,201505
328798,Sunny Gem steps from Prospect Park,1679277,Albano,Brooklyn,Prospect Heights,11238,40.67615275,-73.96992585,Entire home/apt,140,3,22,4/3/2015,0.6,1,138,201505
44461, Private  Bedroom with Private Bath,195137,James,Manhattan,Harlem,10031,40.82295535,-73.95129383,Private room,110,1,45,2/18/2015,0.8,4,362,201505
1692262,Open Design Williamsburg Loft,8939428,Margo & Dave,,,11211,40.71092678,-73.96951156,Entire home/apt,269,2,58,4/6/2015,3.2,1,262,201505
5912728,Stunning Soho loft,23564279,Tom,Manhattan,SoHo,10013,40.72421049,-74.0032231,Entire home/apt,1600,3,0,,,1,365,201505
236788,"HUGE, modern 2-LEVEL Brooklyn apt",4166168,Nick And Noémie,,,11201,40.70573268,-73.9869747,Entire home/apt,400,2,22,1/3/2015,0.8,2,120,201505
1839341,Modern Waterfront 2Bed Williamsburg,9610339,Cris,,,11249,40.71873421,-73.96591106,Entire home/apt,330,5,14,2/6/2015,1.1,1,124,201505
3423140,One bedroom,17254188,Christian,Manhattan,Upper West Side,10023,40.77464508,-73.98831591,Private room,80,1,0,,,1,285,201505
2148099,Nice Astoria Apt for Super Bowl,10964020,Wes,Queens,Astoria,11103,40.75841548,-73.91477264,Entire home/apt,300,1,0,,,1,346,201505
1928961,Futon 2.0,9989761,Gaudhi,,,10026,40.79871191,-73.95420617,Shared room,45,1,68,4/21/2015,4,2,297,201505
3262961,Spacious Prospect Park Apartment!,14137679,Megan,,,11226,40.65417993,-73.96413179,Private room,60,1,3,8/19/2014,0.3,1,303,201505
4456094,"Big, Cozy and Charming Studio",23122658,Rachel,,,11238,40.67503023,-73.97001001,Entire home/apt,145,1,1,4/10/2015,1,1,330,201505
72855,Coney Island Entire  Apt  Wi Fi 2,72808,Edwin,,,11224,40.58023982,-73.9872215,Entire home/apt,75,2,103,4/7/2015,2.5,5,334,201505
1869097,STYLISH NYC LOFT ON CENTRAL PARK,164355,Gil,,,10024,40.78763149,-73.96741572,Entire home/apt,145,3,2,7/31/2014,0.1,1,172,201505
2045245,Parkside sunny spacious bedroom ,10159354,Christine,,,11218,40.65075517,-73.97188715,Private room,99,2,3,10/27/2014,0.3,1,362,201505
2501809,Prospect Park and Brooklyn Pad. ,12806055,Daniel,,,11225,40.65593684,-73.96318386,Private room,75,1,0,,,1,365,201505
5691598,Amazing 2 BR apt,26945822,Marissa,,,10025,40.79583854,-73.96051263,Entire home/apt,200,1,0,,,2,365,201505
61747,Spacious Studio Apt. in Brooklyn,299370,David,,,11225,40.66144452,-73.96368736,Entire home/apt,80,2,19,4/13/2015,0.4,1,119,201505
2039945,Photographer LOFT w/ Manhattan VIEW,10464188,David,,,11249,40.70873461,-73.97342228,Entire home/apt,145,2,60,4/26/2015,3.8,1,50,201505
5366126,Great Private Bedroom,569577,John,,,11225,40.65928986,-73.96308158,Private room,75,1,0,,,1,49,201505
1583653,Private room and bathroom!!!!!,8434244,William,,,10029,40.78910418,-73.93631872,Private room,89,1,1,9/30/2013,0.1,1,324,201505
3571154,Cozy Brownstone Duplex near Park ,89352,David,,,10024,40.78441589,-73.96992642,Private room,250,1,1,8/25/2014,0.1,1,290,201505
1112070,Private Room & Bath in Brooklyn! ,350702,Autumn,,,11225,40.66727352,-73.96258614,Private room,90,2,44,4/26/2015,1.8,1,312,201505
4744839,"Spacious, Beautiful, Luxury, View ",24490116,Malcolm,,,11101,40.74856591,-73.95712593,Entire home/apt,118,2,0,,,1,101,201505
3331351,Spacious Manhattan apartment 2b,16818441,Tom,,,10044,40.76671507,-73.94723511,Entire home/apt,220,1,0,,,1,238,201505
5348033,Big Beautiful 1 br- July-August,27718343,Naomi,,,11215,40.6600716,-73.97699837,Entire home/apt,75,1,0,,,1,113,201505
4488506,Enough room to dance!  3 bed rooms,23285583,Wendy,,,10471,40.90641211,-73.89615372,Entire home/apt,200,2,0,,,1,154,201505
2391562,BEST Location and Charm in Chelsea!,3896863,Susanna And Ricki,,,10011,40.74617911,-74.01148002,Entire home/apt,225,2,19,4/6/2015,1.5,1,257,201505
4379145,specious 1bd apt on Saint Marks Pl,16598048,Yervand,Manhattan,East Village,10003,40.72902136,-73.98813951,Entire home/apt,220,1,1,11/2/2014,0.2,1,168,201505
1337124,Great studio steps to central park,2706719,Siwat,,,10023,40.77571227,-73.97609086,Entire home/apt,150,5,1,8/24/2014,0.1,1,243,201505
5639302,SUNNY LARGE TWO BEDROOM APT,29224658,Grace,,,10026,40.79674517,-73.9496194,Private room,75,5,0,,,1,24,201505
1949841,Perfect Ocean Front Bedroom,4275922,Jax & CK,,,11695,40.58124678,-73.81751976,Private room,75,1,0,,,1,83,201505
3875372,Spacious apt steps to Central Park,19655868,Eve,,,10025,40.79537892,-73.96119174,Private room,90,1,0,,,2,334,201505
4726182,Sweet 1BD Apt in historic NYC,6122777,Yuliya,,,10038,40.70733649,-73.99972447,Entire home/apt,201,2,1,1/20/2015,0.3,1,365,201505
421241,Great Apt West Village/Meatpackin,902470,Beth,,,10014,40.74036004,-74.01171587,Entire home/apt,229,1,20,1/2/2015,0.6,1,49,201505
1022283,Room in Brooklyn On Prospect Park,5628090,Nathan,,,11226,40.65463174,-73.96295707,Private room,50,1,1,1/25/2015,0.3,1,151,201505
3245913,Peaceful Apartment in South Slope,16417822,Tom,,,11215,40.65865268,-73.99488852,Entire home/apt,100,3,21,3/30/2015,2.3,1,311,201505
635662,bedroom in front  prospect park sw,3033622,Jose,,,11218,40.65212243,-73.97157738,Private room,48,1,71,4/15/2015,2.2,1,147,201505
2771856,"Bright, cozy room on Central Park!",14174784,Nicole,,,10026,40.79715524,-73.95321448,Private room,99,3,31,4/18/2015,2.9,1,100,201505
584122,"MODERN APT in HELL'S KITCHEN, NYC",2878358,Gio,,,10019,40.77149197,-73.99568018,Private room,100,3,46,4/30/2015,1.4,1,313,201505
194154,Large Room Overlooking Central Park,936830,Elina,,,10025,40.79629027,-73.96034274,Private room,89,4,23,4/12/2015,0.5,1,167,201505
5075441,Private room in Brooklyn. ,4124099,Glenda,,,11218,40.65250009,-73.98133551,Private room,40,1,0,,,1,80,201505
1280263,Luxury 2 BR facing Central Park,6966539,Victor,,,10024,40.78362052,-73.97055794,Entire home/apt,400,3,8,1/5/2015,0.5,1,239,201505
2422727,Amazing Bridge View in Big LES Flat,6770194,Jared,,,10002,40.70985871,-73.98883758,Private room,84,1,49,4/24/2015,3.4,2,300,201505
524155,UWS King Bed 100 metersCentral Park,2576893,John,,,10023,40.77685443,-73.97466217,Entire home/apt,175,5,36,1/6/2015,1.1,2,321,201505
948063,Private  Room - Best Neighborhood!,5140244,Jennifer,,,10024,40.77970995,-73.96918338,Private room,109,2,37,4/30/2015,1.4,2,17,201505
2465699,Beautiful Central Park Apartment!,12608261,Jimmie,,,10026,40.79783307,-73.95423365,Private room,125,2,7,4/10/2015,0.7,1,320,201505
2985678,The Greenwood Grand - Stay Boutique,1720071,Karen And Ben,,,11232,40.65853577,-73.99504921,Entire home/apt,155,2,38,4/28/2015,3.9,1,301,201505
3272610,Beautiful 1BD on Prospect Park,7219779,Marija,,,11225,40.65659427,-73.96236736,Entire home/apt,150,3,6,4/20/2015,0.6,1,352,201505
311343,"COMFORTABLE, CLEAN AND FAMILY ROOM",1601664,Junior,,,10029,40.79502912,-73.95127837,Private room,90,1,124,4/27/2015,3.3,2,298,201505
5439239,Large Apartment &Terrace 32nd Floor,23859074,Hakan,,,10019,40.76699621,-73.97788957,Entire home/apt,660,2,2,4/22/2015,2,1,214,201505
1039215,Heart of Williamsburg - authentic !,4911550,Marc,,,11249,40.72531401,-73.9618611,Entire home/apt,110,3,38,4/18/2015,1.6,1,122,201505
4765698,Beautiful 1-Bed Studio in UES,24587661,Brett,,,10028,40.77101001,-73.94649041,Entire home/apt,175,2,1,1/2/2015,0.2,1,330,201505
4524510,EPIC HOUSE BOAT  IN PRIVATE MARINA,7286036,Philipp,,,11692,40.59483226,-73.7899313,Entire home/apt,140,1,1,4/30/2015,1,2,73,201505
2054032,"Private Room by Prospect Park, BK ",5008090,Lee,,,11225,40.66201238,-73.96339723,Private room,82,1,0,,,1,76,201505
1800779,Roomy 1 Bedroom apt best location!,1207330,Ari,,,10019,40.76662854,-73.97636301,Entire home/apt,180,2,11,4/8/2015,0.7,1,120,201505
