id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
9698613,"1 Bedroom Sublet in Astoria, NY",50084376,Asijah,Queens,Ditmars Steinway,11105,40.77591467,-73.90861532,Private room,35,1,2,1/5/2016,0.15,1,0,201702
7927466,"A Little Apple Tree House, Astoria",3125683,Dega,Queens,Ditmars Steinway,11105,40.77110011,-73.91197557,Entire home/apt,120,2,31,1/2/2017,1.75,1,365,201702
13991331,Astoria Queens NYC Studio Basement,83531864,Carlos,Queens,Ditmars Steinway,11105,40.77578242,-73.91730574,Entire home/apt,160,1,0,,,1,364,201702
10283574,Apt next to Astoria park,35518413,Suhel,Queens,Ditmars Steinway,11102,40.77597257,-73.92194167,Entire home/apt,100,1,54,1/15/2017,5.53,1,335,201702
3929317,Comfy room minutes from Manhattan!,20356268,Kristin,Queens,Ditmars Steinway,11102,40.77157622,-73.91742094,Private room,65,2,54,1/21/2017,1.84,1,103,201702
10220418,Duplex 2BR House - 15 min Manhattan,52467013,Laura Anthony,Queens,Ditmars Steinway,11105,40.77100358,-73.9100711,Entire home/apt,205,1,37,1/17/2017,3.68,4,299,201702
239733,Astoria Garden Suite,1256874,Nancy & Rob,Queens,Ditmars Steinway,11105,40.77665858,-73.91656779,Entire home/apt,68,28,37,1/3/2017,0.58,1,339,201702
9825967,Economical One Bedroom Apt in NYC!,50603026,Paulo,Queens,Ditmars Steinway,11105,40.77698545,-73.90931111,Entire home/apt,85,1,61,1/21/2017,4.35,1,352,201702
4645841,"Beautiful 1BDR, 20min to Times Sq",19516856,Andrew & Daniela,Queens,Ditmars Steinway,11105,40.77549461,-73.91571413,Entire home/apt,115,5,6,1/3/2017,0.23,1,244,201702
10218475,Duplex 2BR House 16 min Manhattan,52467013,Laura Anthony,Queens,Ditmars Steinway,11105,40.77391892,-73.9108222,Entire home/apt,210,2,41,1/24/2017,3.97,4,266,201702
