,Zip Code,Mean,Median
0,11211,146.84005287508262,110.0
1,11221,87.62993140910555,68.0
2,11206,96.82583477883782,75.0
3,11216,110.63643523567188,85.0
4,10002,171.128160418483,130.0
5,10019,228.57466033504815,180.0
6,10009,170.6918799410425,140.0
7,11238,137.84450949690245,105.0
8,10003,223.03882675669973,169.0
9,11222,135.67158430232558,109.5
10,10025,166.79062547326973,110.0
11,11237,79.21959354638535,65.0
12,10036,215.99946241376222,170.0
13,11215,147.0970899946111,129.0
14,10027,135.70750951452706,100.0
15,10016,219.9991612301957,175.0
16,10031,98.00326553461467,75.0
17,10011,235.3826315295883,190.0
18,11249,168.0455671124319,135.0
19,11233,99.17221447079928,80.0
20,10012,226.86002034587995,185.0
21,10014,256.9928840519046,200.0
22,10029,140.5720677532758,95.0
23,11205,140.64767415980413,99.0
24,11226,85.03346080305927,69.0
25,11225,100.77097505668934,83.0
26,11217,162.18851211072663,130.0
27,11213,109.69947547053378,77.0
28,10023,219.26216935357647,180.0
29,10024,195.55934857500782,159.0
