,Zip Code,Mean,Median
0,11211,150.9916819963209,129.0
1,10002,182.40047701647876,150.0
2,10009,177.7785486179936,150.0
3,10003,220.32889100428366,180.0
4,11206,102.39197041732699,80.0
5,11238,144.08221099887766,120.0
6,11221,95.71307634164776,75.0
7,10011,242.85434648581997,200.0
8,11216,111.90020690752826,90.0
9,10014,252.50082290980907,210.0
10,10019,229.52504943968358,189.0
11,10025,183.9379285456514,145.0
12,10012,255.21976026153288,200.0
13,11222,140.4325360598868,120.0
14,11237,91.91644152836743,75.0
15,10036,218.43712450797597,175.0
16,10016,237.5729144555296,185.0
17,11215,162.93261339092874,139.0
18,11249,176.33032824780398,140.0
19,10031,104.39563277764734,80.0
20,10027,128.7090481786134,110.0
21,11205,165.37541359124458,115.0
22,10029,126.46143991801179,100.0
23,11217,165.97497337593185,140.0
24,10023,234.26282051282053,190.0
25,10024,205.71611030478954,175.0
26,11201,180.6519592718297,155.0
27,10128,184.36515437933207,150.0
28,11226,92.68058191018343,75.0
29,10013,294.4594681191926,185.0
