CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
758504977,11/30/2016,8:00:00,11/30/2016,18:00:00,4/12/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,PUBLIC BUILDING,,,"1,001,797","232,216",40.80404601,-73.9366201,"(40.804046007, -73.936620103)"
620172690,12/1/2016,0:01:00,12/24/2016,23:59:00,5/8/2018,104,RAPE,155,RAPE 2,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,25,INSIDE,RESIDENCE - PUBLIC HOUSING,,LINCOLN,"1,000,555","230,994",40.80069433,-73.94110929,"(40.800694331, -73.941109286)"
723730997,12/1/2016,9:00:00,,,3/19/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,23,INSIDE,RESIDENCE - PUBLIC HOUSING,,JOHNSON,"1,000,102","229,680",40.79708858,-73.94274858,"(40.797088584, -73.94274858)"
913879880,12/1/2016,20:53:00,,,3/16/2018,121,CRIMINAL MISCHIEF & RELATED OF,273,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,28,,TRANSIT - NYC SUBWAY,,,"999,342","233,575",40.80778062,-73.94548473,"(40.807780622, -73.945484727)"
388970644,12/1/2016,10:00:00,12/22/2017,10:00:00,3/4/2018,109,GRAND LARCENY,443,"LARCENY,GRAND OF BICYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,RESIDENCE - APT. HOUSE,,,"982,733","198,432",40.71133484,-74.00547337,"(40.711334838, -74.005473365)"
958556764,12/1/2016,9:00:00,,,2/5/2018,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,RESIDENCE - APT. HOUSE,,,"999,911","242,928",40.83345098,-73.94340751,"(40.833450977, -73.943407506)"
744548390,12/5/2016,14:00:00,12/5/2016,14:30:00,5/3/2018,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,PUBLIC BUILDING,,,"1,001,797","232,216",40.80404601,-73.9366201,"(40.804046007, -73.936620103)"
278114175,12/5/2016,16:30:00,1/25/2018,16:00:00,1/30/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,COMMERCIAL BUILDING,,,"989,741","215,196",40.75734632,-73.98018137,"(40.757346324, -73.980181368)"
596043513,12/7/2016,10:00:00,1/18/2018,18:00:00,2/23/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,DOCTOR/DENTIST OFFICE,,,"993,538","217,312",40.76315103,-73.96647296,"(40.763151029, -73.966472956)"
945860965,12/12/2016,0:00:00,3/31/2017,23:59:00,4/18/2018,115,PROSTITUTION & RELATED OFFENSES,586,SEX TRAFFICKING,COMPLETED,FELONY,PORT AUTHORITY,MANHATTAN,14,INSIDE,BUS TERMINAL,,,"985,679","213,954",40.75393894,-73.99484366,"(40.753938938, -73.994843655)"
589667703,12/18/2016,17:35:00,,,3/16/2018,121,CRIMINAL MISCHIEF & RELATED OF,273,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,28,,TRANSIT - NYC SUBWAY,,,"999,342","233,575",40.80778062,-73.94548473,"(40.807780622, -73.945484727)"
775120794,12/20/2016,0:01:00,12/20/2016,23:59:00,3/20/2018,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,002,106","249,501",40.85148777,-73.93545797,"(40.851487774, -73.935457967)"
584037993,12/22/2016,14:00:00,1/5/2017,9:00:00,3/29/2018,109,GRAND LARCENY,437,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,6,,STREET,,,"984,338","208,351",40.73856022,-73.9996839,"(40.738560221, -73.999683896)"
796509162,12/23/2016,9:00:00,2/20/2018,10:00:00,3/11/2018,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,005,317","255,575",40.868152,-73.92383219,"(40.868151998, -73.923832188)"
434208277,12/26/2016,0:01:00,4/11/2018,7:00:00,4/12/2018,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,MAILBOX OUTSIDE,,,"993,174","228,016",40.79253107,-73.96777274,"(40.792531066, -73.967772735)"
519767678,12/26/2016,0:01:00,1/1/2017,0:01:00,1/11/2018,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,7,,PARKING LOT/GARAGE (PUBLIC),,,"988,934","200,565",40.71718831,-73.98310447,"(40.717188305, -73.983104465)"
809715786,12/30/2016,9:00:00,,10:00:00,5/4/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,COMMERCIAL BUILDING,,,"988,926","211,121",40.74616195,-73.98312599,"(40.746161946, -73.98312599)"
